movie_title,actor_1_name,actor_2_name,actor_3_name
Avatar,CCH Pounder,Joel David Moore,Wes Studi
Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Jack Davenport
Spectre,Christoph Waltz,Rory Kinnear,Stephanie Sigman
The Dark Knight Rises,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
John Carter,Daryl Sabara,Samantha Morton,Polly Walker
Spider-Man 3,J.K. Simmons,James Franco,Kirsten Dunst
Tangled,Brad Garrett,Donna Murphy,M.C. Gainey
Avengers: Age of Ultron,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Harry Potter and the Half-Blood Prince,Alan Rickman,Daniel Radcliffe,Rupert Grint
Batman v Superman: Dawn of Justice,Henry Cavill,Lauren Cohan,Alan D. Purwin
Superman Returns,Kevin Spacey,Marlon Brando,Frank Langella
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Orlando Bloom,Jack Davenport
The Lone Ranger,Johnny Depp,Ruth Wilson,Tom Wilkinson
Man of Steel,Henry Cavill,Christopher Meloni,Harry Lennix
The Chronicles of Narnia: Prince Caspian,Peter Dinklage,Pierfrancesco Favino,Dami?n Alc?zar
The Avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Pirates of the Caribbean: On Stranger Tides,Johnny Depp,Sam Claflin,Stephen Graham
Men in Black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
The Hobbit: The Battle of the Five Armies,Aidan Turner,Adam Brown,James Nesbitt
The Amazing Spider-Man,Emma Stone,Andrew Garfield,Chris Zylka
The Hobbit: The Desolation of Smaug,Aidan Turner,Adam Brown,James Nesbitt
King Kong,Naomi Watts,Thomas Kretschmann,Evan Parke
Captain America: Civil War,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Battleship,Liam Neeson,Alexander Skarsg?rd,Tadanobu Asano
X-Men: The Last Stand,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
Transformers: Age of Extinction,Bingbing Li,Sophia Myles,Kelsey Grammer
Oz the Great and Powerful,Tim Holmes,Mila Kunis,James Franco
The Avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
The Messenger: The Story of Joan of Arc,Paul Brooke,David Bailie,Rab Affleck
Red Cliff,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao
King Kong,Naomi Watts,Thomas Kretschmann,Evan Parke
Princess Mononoke,Minnie Driver,Jada Pinkett Smith,Billy Crudup
Steamboy,William Hootkins,Robin Atkin Downes,Rosalind Ayres
Ong-bak 2,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang
The Host,Doona Bae,Kang-ho Song,Ah-sung Ko
Fateless,Marcell Nagy,P?ter Fancsikai,B?lint P?ntek
Kabhi Alvida Naa Kehna,Shah Rukh Khan,John Abraham,Preity Zinta
Kites,B?rbara Mori,Steven Michael Quezada,Kabir Bedi
The Legend of Suriyothai,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura
Akira,Mitsuo Iwata,Takeshi Kusao,Tessh? Genda
Spider-Man 3,J.K. Simmons,James Franco,Kirsten Dunst
Tango,M?a Maestro,Juan Luis Galiardo,Miguel ?ngel Sol?
Lady Vengeance,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang
Godzilla 2000,Hiroshi Abe,Naomi Nishida,Sakae Kimura
King Kong,Naomi Watts,Thomas Kretschmann,Evan Parke
Oz the Great and Powerful,Tim Holmes,Mila Kunis,James Franco
